job_id,timestamp,cpu_usage,memory_usage_MB,disk_io_MBps,network_traffic_Mbps,active_instances,response_time_ms,sla_violation,cost_per_hour_$,workload_type
JOB_1,2024-01-01 00:00:00,29.48,1401.15,76.82,102.48,1,69.49,0,0.25,Streaming
JOB_2,2024-01-01 00:01:00,28.77,1983.9,58.66,87.92,1,61.59,0,0.25,Web
JOB_3,2024-01-01 00:02:00,12.22,2836.98,93.08,53.09,1,31.67,0,0.25,Web
JOB_4,2024-01-01 00:03:00,17.81,2967.48,494.81,206.97,2,34.21,0,0.5,Streaming
JOB_5,2024-01-01 00:04:00,24.48,910.62,190.26,54.11,2,50.38,0,0.5,AI
JOB_6,2024-01-01 00:05:00,31.72,2999.95,57.3,270.6,3,83.97,0,0.75,AI
JOB_7,2024-01-01 00:06:00,35.45,1740.72,161.41,187.83,3,87.28,0,0.75,IoT
JOB_8,2024-01-01 00:07:00,17.81,3546.91,401.04,191.68,2,32.2,0,0.5,AI
JOB_9,2024-01-01 00:08:00,12.29,3287.14,186.34,108.12,1,29.74,0,0.25,Web
JOB_10,2024-01-01 00:09:00,35.08,3556.36,439.76,200.75,3,63.15,0,0.75,AI
JOB_11,2024-01-01 00:10:00,22.08,505.58,368.74,266.36,2,61.19,0,0.5,AI
JOB_12,2024-01-01 00:11:00,10.08,2251.89,231.06,65.18,1,21.55,0,0.25,Analytics
JOB_13,2024-01-01 00:12:00,19.32,3717.11,263.81,146.29,1,45.66,0,0.25,Web
JOB_14,2024-01-01 00:13:00,32.56,689.76,485.59,71.76,4,81.92,0,1.0,AI
JOB_15,2024-01-01 00:14:00,31.97,2109.95,195.49,209.02,4,51.18,0,1.0,IoT
JOB_16,2024-01-01 00:15:00,32.76,1314.66,339.36,152.59,2,93.9,0,0.5,IoT
JOB_17,2024-01-01 00:16:00,24.72,3350.74,362.55,291.33,1,68.0,0,0.25,Web
JOB_18,2024-01-01 00:17:00,30.71,3678.84,57.17,294.77,4,83.79,0,1.0,IoT
JOB_19,2024-01-01 00:18:00,12.6,2907.12,477.19,153.82,2,27.54,0,0.5,AI
JOB_20,2024-01-01 00:19:00,28.65,3825.03,257.2,189.34,1,64.54,0,0.25,Streaming
JOB_21,2024-01-01 00:20:00,11.19,1143.66,230.85,153.97,1,28.3,0,0.25,Web
JOB_22,2024-01-01 00:21:00,31.6,2555.61,499.78,230.02,2,63.44,0,0.5,AI
JOB_23,2024-01-01 00:22:00,25.49,1958.7,183.88,211.78,1,59.46,0,0.25,AI
JOB_24,2024-01-01 00:23:00,10.44,1439.81,142.0,117.36,2,16.49,0,0.5,Analytics
JOB_25,2024-01-01 00:24:00,29.55,597.73,452.05,275.26,1,86.66,0,0.25,Web
JOB_26,2024-01-01 00:25:00,30.71,2041.14,296.58,85.78,2,65.67,0,0.5,IoT
JOB_27,2024-01-01 00:26:00,29.93,3911.57,62.21,74.94,1,73.24,0,0.25,AI
JOB_28,2024-01-01 00:27:00,10.84,788.41,433.3,149.38,1,27.21,0,0.25,Web
JOB_29,2024-01-01 00:28:00,38.48,3612.57,456.52,169.58,4,86.04,0,1.0,Web
JOB_30,2024-01-01 00:29:00,36.5,1426.16,89.78,59.36,2,91.7,0,0.5,Web
JOB_31,2024-01-01 00:30:00,12.01,3959.34,211.15,205.37,2,33.55,0,0.5,Web
JOB_32,2024-01-01 00:31:00,30.96,3137.35,362.69,211.81,4,77.25,0,1.0,IoT
JOB_33,2024-01-01 00:32:00,17.19,1266.06,208.53,284.56,1,29.29,0,0.25,AI
JOB_34,2024-01-01 00:33:00,22.71,3284.8,345.26,271.7,1,45.78,0,0.25,IoT
JOB_35,2024-01-01 00:34:00,13.48,1336.73,317.29,273.29,2,35.16,0,0.5,Analytics
JOB_36,2024-01-01 00:35:00,21.57,3399.53,176.56,229.36,1,36.55,0,0.25,Web
